"id","datetime","store","weekday","sales","products_sold","clientes_that_bought","half_hour","year","month","dia"
106,2020-03-22 11:00:00,274,sunday,1442,282,20,22,2020,3,22
107,2020-03-22 11:30:00,274,sunday,2429,514,27,23,2020,3,22
108,2020-03-22 12:00:00,274,sunday,857,167,17,24,2020,3,22
109,2020-03-22 12:30:00,274,sunday,1341,285,21,25,2020,3,22
110,2020-03-22 13:00:00,274,sunday,3035,671,38,26,2020,3,22
111,2020-03-22 13:30:00,274,sunday,2314,470,25,27,2020,3,22
112,2020-03-22 14:00:00,274,sunday,1729,349,14,28,2020,3,22
113,2020-03-22 14:30:00,274,sunday,1271,269,15,29,2020,3,22
114,2020-03-22 15:00:00,274,sunday,2203,411,18,30,2020,3,22
115,2020-03-22 15:30:00,274,sunday,1608,450,25,31,2020,3,22
116,2020-03-22 16:00:00,274,sunday,1335,254,16,32,2020,3,22
117,2020-03-22 16:30:00,274,sunday,1785,369,17,33,2020,3,22
118,2020-03-22 17:00:00,274,sunday,1287,240,14,34,2020,3,22
119,2020-03-22 17:30:00,274,sunday,1238,265,18,35,2020,3,22
120,2020-03-22 18:00:00,274,sunday,72,15,4,36,2020,3,22
121,2020-03-22 18:30:00,274,sunday,2183,519,16,37,2020,3,22
122,2020-03-22 19:00:00,274,sunday,1658,401,21,38,2020,3,22
123,2020-03-22 19:30:00,274,sunday,380,79,11,39,2020,3,22
124,2020-03-22 20:00:00,274,sunday,471,135,14,40,2020,3,22
125,2020-03-22 20:30:00,274,sunday,963,266,8,41,2020,3,22
126,2020-03-23 08:30:00,274,monday,253,46,12,17,2020,3,23
127,2020-03-23 09:00:00,274,monday,150,42,5,18,2020,3,23
128,2020-03-23 09:30:00,274,monday,921,170,20,19,2020,3,23
129,2020-03-23 10:00:00,274,monday,758,162,14,20,2020,3,23
130,2020-03-23 10:30:00,274,monday,1736,335,20,21,2020,3,23
131,2020-03-23 11:00:00,274,monday,1505,290,30,22,2020,3,23
132,2020-03-23 11:30:00,274,monday,1230,281,24,23,2020,3,23
133,2020-03-23 12:00:00,274,monday,1410,248,26,24,2020,3,23
134,2020-03-23 12:30:00,274,monday,1788,372,29,25,2020,3,23
135,2020-03-23 13:00:00,274,monday,1196,247,24,26,2020,3,23
136,2020-03-23 13:30:00,274,monday,1270,263,25,27,2020,3,23
137,2020-03-23 14:00:00,274,monday,811,210,13,28,2020,3,23
138,2020-03-23 14:30:00,274,monday,1025,211,9,29,2020,3,23
139,2020-03-23 15:00:00,274,monday,1840,334,23,30,2020,3,23
140,2020-03-23 15:30:00,274,monday,1417,298,19,31,2020,3,23
141,2020-03-23 16:00:00,274,monday,2183,524,38,32,2020,3,23
142,2020-03-23 16:30:00,274,monday,2878,698,33,33,2020,3,23
143,2020-03-23 17:00:00,274,monday,1623,313,16,34,2020,3,23
144,2020-03-23 17:30:00,274,monday,1304,288,20,35,2020,3,23
145,2020-03-23 18:00:00,274,monday,1415,297,19,36,2020,3,23
146,2020-03-23 18:30:00,274,monday,1036,210,14,37,2020,3,23
147,2020-03-23 19:00:00,274,monday,720,170,17,38,2020,3,23
148,2020-03-23 19:30:00,274,monday,606,110,11,39,2020,3,23
149,2020-03-23 20:00:00,274,monday,1098,205,9,40,2020,3,23
150,2020-03-23 20:30:00,274,monday,679,146,11,41,2020,3,23
151,2020-03-24 08:30:00,274,tuesday,583,107,11,17,2020,3,24
152,2020-03-24 09:00:00,274,tuesday,612,120,15,18,2020,3,24
153,2020-03-24 09:30:00,274,tuesday,961,212,12,19,2020,3,24
154,2020-03-24 10:00:00,274,tuesday,1730,339,12,20,2020,3,24
155,2020-03-24 10:30:00,274,tuesday,1606,294,23,21,2020,3,24
156,2020-03-24 11:00:00,274,tuesday,1428,289,18,22,2020,3,24
157,2020-03-24 11:30:00,274,tuesday,1565,316,24,23,2020,3,24
158,2020-03-24 12:00:00,274,tuesday,2201,495,30,24,2020,3,24
159,2020-03-24 12:30:00,274,tuesday,1068,246,21,25,2020,3,24
160,2020-03-24 13:00:00,274,tuesday,806,147,15,26,2020,3,24
161,2020-03-24 13:30:00,274,tuesday,2400,530,36,27,2020,3,24
162,2020-03-24 14:00:00,274,tuesday,531,137,12,28,2020,3,24
163,2020-03-24 14:30:00,274,tuesday,1543,324,23,29,2020,3,24
164,2020-03-24 15:00:00,274,tuesday,1213,257,20,30,2020,3,24
165,2020-03-24 15:30:00,274,tuesday,979,213,18,31,2020,3,24
166,2020-03-24 16:00:00,274,tuesday,1195,324,16,32,2020,3,24
167,2020-03-24 16:30:00,274,tuesday,1651,393,13,33,2020,3,24
168,2020-03-24 17:00:00,274,tuesday,1878,429,25,34,2020,3,24
169,2020-03-24 17:30:00,274,tuesday,998,215,13,35,2020,3,24
