"id_seq","analysis_moment","store","df_size","ApEn","fcst_period","freq_hours","work_hours","mse_outlier","rmse_outlier","mae_outlier","mape_outlier","mse_without_outlier","rmse_without_outlier","mae_without_outlier","mape_without_outlier","model_outlier_file_name","model_without_outlier_file_name"
31,2021-08-16 16:02:30,58,101578,0.773767330711876,"30",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",38531.239,196.294,84.245,45.342,7615.161,87.265,66.104,44.301,"58_2021_08_16_16_01_58_516564.json","58_2021_08_16_16_02_18_697527.json"
32,2021-08-16 16:03:01,58,101578,0.773767330711876,"7",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",6277.204,79.229,62.829,72.225,5069.304,71.199,57.953,84.276,"58_2021_08_16_16_02_35_189761.json","58_2021_08_16_16_02_49_298004.json"
33,2021-08-16 16:09:34,58,101578,0.773767330711876,"38856",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",5368.494,73.27,44.028,14371045084054.78,7710.344,87.809,70.669,50.748,"58_2021_08_16_16_06_57_031219.json","58_2021_08_16_16_08_39_936997.json"
34,2021-08-16 16:10:08,72,24988,0.781749442600933,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",3314.666,57.573,43.909,26.29,2422.801,49.222,38.219,24.827,"72_2021_08_16_16_09_43_635374.json","72_2021_08_16_16_09_57_310649.json"
35,2021-08-16 16:10:35,72,24988,0.781749442600933,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",5306.609,72.846,58.66,33.093,4210.609,64.889,51.424,30.26,"72_2021_08_16_16_10_11_791275.json","72_2021_08_16_16_10_25_962204.json"
36,2021-08-16 16:12:46,72,24988,0.781749442600933,"10587",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",5063.814,71.16,51.54,19490403456255.004,4295.735,65.542,49.151,72.025,"72_2021_08_16_16_11_45_223845.json","72_2021_08_16_16_12_23_287343.json"
37,2021-08-16 16:13:31,66,95158,0.564745300486408,"30",[ 9 10 11 12 13 14 15 16 17 18 19],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",20179.642,142.055,111.653,62.895,17096.81,130.755,109.126,45.905,"66_2021_08_16_16_12_59_836939.json","66_2021_08_16_16_13_19_118998.json"
38,2021-08-16 16:14:01,66,95158,0.564745300486408,"7",[ 9 10 11 12 13 14 15 16 17 18 19],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",45624.824,213.6,174.426,86.077,43630.415,208.879,196.042,110.576,"66_2021_08_16_16_13_36_642236.json","66_2021_08_16_16_13_50_876225.json"
39,2021-08-16 16:20:17,66,95158,0.564745300486408,"40066",[ 9 10 11 12 13 14 15 16 17 18 19],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",10583.306,102.875,70.613,30393014650330.49,8016.209,89.533,74.763,84.974,"66_2021_08_16_16_17_47_595184.json","66_2021_08_16_16_19_25_450041.json"
40,2021-08-16 16:20:53,67,45176,0.696059656873792,"30",[10 11 12 13 14 15 16 17 18 19],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",13402.543,115.769,56.477,35.465,3710.497,60.914,48.41,34.606,"67_2021_08_16_16_20_27_434876.json","67_2021_08_16_16_20_42_785426.json"
41,2021-08-16 16:21:18,67,45176,0.696059656873792,"7",[10 11 12 13 14 15 16 17 18 19],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",7463.58,86.392,55.52,35.031,3690.492,60.749,48.06,33.942,"67_2021_08_16_16_20_56_889081.json","67_2021_08_16_16_21_09_285352.json"
42,2021-08-16 16:24:26,67,45176,0.696059656873792,"18382",[10 11 12 13 14 15 16 17 18 19],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",18261.515,135.135,98.048,22519064012721.414,8971.123,94.716,72.756,53.163,"67_2021_08_16_16_23_04_471361.json","67_2021_08_16_16_23_55_410995.json"
43,2021-08-16 16:24:59,73,15577,0.599525263569754,"30",[10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",8362.187,91.445,60.689,48.26,4659.417,68.26,50.57,42.854,"73_2021_08_16_16_24_34_986595.json","73_2021_08_16_16_24_48_349684.json"
44,2021-08-16 16:25:27,73,15577,0.599525263569754,"7",[10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",4607.671,67.88,52.549,63.82,4063.393,63.745,52.568,77.378,"73_2021_08_16_16_25_04_100579.json","73_2021_08_16_16_25_18_134485.json"
45,2021-08-16 16:27:01,73,15577,0.599525263569754,"5702",[10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",13896.248,117.882,77.145,25984538877170.82,23127.228,152.076,130.844,376.876,"73_2021_08_16_16_26_17_075459.json","73_2021_08_16_16_26_42_699291.json"
46,2021-08-16 16:27:40,1693,51013,0.447128584006116,"30",[ 8  9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",4020.617,63.408,56.591,599.863,145.195,12.05,9.978,141.45,"1693_2021_08_16_16_27_12_291788.json","1693_2021_08_16_16_27_28_569236.json"
47,2021-08-16 16:28:06,1693,51013,0.447128584006116,"7",[ 8  9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",58541.924,241.954,218.396,2078.984,195.066,13.967,11.607,145.096,"1693_2021_08_16_16_27_44_818372.json","1693_2021_08_16_16_27_57_168215.json"
48,2021-08-16 16:32:18,1693,51013,0.447128584006116,"15808",[ 8  9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",756.593,27.506,21.228,10595987622271.938,122.362,11.062,9.136,117.449,"1693_2021_08_16_16_30_51_513705.json","1693_2021_08_16_16_31_41_679069.json"
49,2021-08-16 16:32:55,4714,52474,0.492795037481118,"30",[ 9 10 11 12 13],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",1192548.684,1092.039,627.465,303.37,265.09,16.282,12.955,90.305,"4714_2021_08_16_16_32_28_975841.json","4714_2021_08_16_16_32_45_037592.json"
50,2021-08-16 16:33:20,4714,52474,0.492795037481118,"7",[ 9 10 11 12 13],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",822583.044,906.964,642.569,574.224,95547.262,309.107,303.382,3246.51,"4714_2021_08_16_16_32_59_072178.json","4714_2021_08_16_16_33_12_181740.json"
51,2021-08-16 16:36:20,4714,52474,0.492795037481118,"7884",[ 9 10 11 12 13],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",623740.662,789.773,377.318,117174568617738.19,384.243,19.602,16.045,178.952,"4714_2021_08_16_16_35_09_698204.json","4714_2021_08_16_16_35_44_985723.json"
52,2021-08-16 16:37:03,4983,71388,0.835123205215174,"30",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",2936.585,54.19,41.935,79.868,1355.139,36.812,31.234,114.935,"4983_2021_08_16_16_36_34_878401.json","4983_2021_08_16_16_36_51_646764.json"
53,2021-08-16 16:37:32,4983,71388,0.835123205215174,"7",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",98457.299,313.779,301.609,767.07,1103.285,33.216,26.622,72.35,"4983_2021_08_16_16_37_08_114111.json","4983_2021_08_16_16_37_22_789091.json"
54,2021-08-16 16:43:57,4983,71388,0.835123205215174,"27696",[10 11 12 13 14],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",10403.037,101.995,93.226,59797167232607.336,955.343,30.909,23.811,60.454,"4983_2021_08_16_16_41_41_183004.json","4983_2021_08_16_16_43_06_370628.json"
55,2021-08-16 16:44:35,4954,41819,0.888050529076979,"30",[10 11 12 13],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",1997.814,44.697,33.482,66.627,759.247,27.554,22.097,62.616,"4954_2021_08_16_16_44_07_368819.json","4954_2021_08_16_16_44_23_372764.json"
56,2021-08-16 16:44:59,4954,41819,0.888050529076979,"7",[10 11 12 13],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",34321.952,185.262,151.824,235.789,2019.13,44.935,36.519,86.95,"4954_2021_08_16_16_44_38_367872.json","4954_2021_08_16_16_44_50_749968.json"
57,2021-08-16 16:47:56,4954,41819,0.888050529076979,"15950",[10 11 12 13],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",6238.118,78.982,62.458,4691820229006.344,2100.435,45.831,35.32,53.964,"4954_2021_08_16_16_46_38_052197.json","4954_2021_08_16_16_47_26_760017.json"
58,2021-08-17 17:38:02,4937,3516,0.834478377422375,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",1332.106,36.498,28.249,109.064,460.031,21.448,17.637,92.575,"4937_2021_08_17_17_37_26_242038.json","4937_2021_08_17_17_37_44_981854.json"
59,2021-08-17 17:38:42,4937,3516,0.834478377422375,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",2004.104,44.767,40.139,244.427,468.507,21.645,18.067,91.295,"4937_2021_08_17_17_38_07_506605.json","4937_2021_08_17_17_38_26_343170.json"
60,2021-08-17 17:39:36,4937,3516,0.834478377422375,"1451",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",1021.881,31.967,19.319,4775782089157.106,499.357,22.346,18.417,105.223,"4937_2021_08_17_17_38_55_247255.json","4937_2021_08_17_17_39_18_592357.json"
61,2021-08-17 17:40:36,63,101544,0.652512694684727,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",3712884.587,1926.885,1575.529,677.758,511992.862,715.537,586.425,264.515,"63_2021_08_17_17_39_54_183759.json","63_2021_08_17_17_40_19_038038.json"
62,2021-08-17 17:41:12,63,101544,0.652512694684727,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",77866.146,279.045,139.648,41.036,20069.498,141.667,103.822,42.618,"63_2021_08_17_17_40_42_292953.json","63_2021_08_17_17_41_00_298109.json"
63,2021-08-17 17:51:05,63,101544,0.652512694684727,"42420",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",26629.381,163.185,127.075,69852567769119.46,62584.108,250.168,210.155,170.394,"63_2021_08_17_17_47_58_106929.json","63_2021_08_17_17_50_00_414130.json"
64,2021-08-17 17:52:03,62,101578,0.788759654642971,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",68760.68,262.223,156.699,47.847,7381.761,85.917,64.646,36.964,"62_2021_08_17_17_51_23_648332.json","62_2021_08_17_17_51_46_446841.json"
65,2021-08-17 17:52:38,62,101578,0.788759654642971,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",105902.307,325.426,128.914,85.019,8241.174,90.781,70.254,68.315,"62_2021_08_17_17_52_08_406076.json","62_2021_08_17_17_52_26_309128.json"
66,2021-08-17 18:01:32,62,101578,0.788759654642971,"46321",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",17206.335,131.173,91.701,20305628820918.484,8913.753,94.413,76.087,107.45,"62_2021_08_17_17_57_54_377010.json","62_2021_08_17_18_00_10_118791.json"
67,2021-08-17 18:02:21,3901,52906,0.469173011457194,"30",[10 11 12 13],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",109344.396,330.673,116.497,379.569,235.405,15.343,12.922,149.011,"3901_2021_08_17_18_01_50_489229.json","3901_2021_08_17_18_02_08_643245.json"
68,2021-08-17 18:14:12,4968,76086,0.609403174569126,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",4231.917,65.053,48.593,45.51,1126.128,33.558,26.153,34.344,"4968_2021_08_17_18_13_34_939604.json","4968_2021_08_17_18_13_57_637735.json"
69,2021-08-17 18:14:49,4968,76086,0.609403174569126,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",27641.65,166.258,163.951,84.142,22742.48,150.806,120.554,194.28,"4968_2021_08_17_18_14_18_795709.json","4968_2021_08_17_18_14_37_147533.json"
70,2021-08-17 18:21:11,4968,76086,0.609403174569126,"28875",[ 9 10 11 12 13 14 15 16 17 18 19 20 21],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",64667.818,254.299,240.51,144385341223272.6,5898.316,76.8,59.255,62.508,"4968_2021_08_17_18_18_46_357775.json","4968_2021_08_17_18_20_24_181064.json"
71,2021-08-17 18:22:15,14,101544,0.790841350442445,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",11288551967.326,106247.597,71492.788,46579.893,6702.884,81.871,62.943,43.349,"14_2021_08_17_18_21_30_079428.json","14_2021_08_17_18_21_56_036821.json"
72,2021-08-17 18:22:58,14,101544,0.790841350442445,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",232656023.407,15253.066,11086.377,6493.169,4698.728,68.547,54.023,38.355,"14_2021_08_17_18_22_22_849858.json","14_2021_08_17_18_22_44_049572.json"
73,2021-08-17 18:33:35,14,101544,0.790841350442445,"42001",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",20812.554,144.266,114.527,18669410111312.65,4178.334,64.64,48.773,37.898,"14_2021_08_17_18_30_04_019399.json","14_2021_08_17_18_32_09_532395.json"
74,2021-08-17 18:34:31,29,35009,0.747917060882552,"30",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",218332.205,467.26,286.953,324.746,1775.882,42.141,33.561,80.723,"29_2021_08_17_18_33_56_874787.json","29_2021_08_17_18_34_17_563188.json"
75,2021-08-17 18:35:12,29,35009,0.747917060882552,"7",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",17515921.859,4185.203,2956.773,5733.059,2566.977,50.665,39.847,65.142,"29_2021_08_17_18_34_37_679428.json","29_2021_08_17_18_35_00_254863.json"
76,2021-08-17 18:38:23,29,35009,0.747917060882552,"11082",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",6915.324,83.158,45.357,23801436654333.414,3203.855,56.603,45.273,142.406,"29_2021_08_17_18_37_05_920096.json","29_2021_08_17_18_37_48_766806.json"
77,2021-08-17 18:39:18,15,101578,0.515679534602578,"30",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",82951.021,288.012,124.514,44.167,9455.774,97.241,77.46,44.919,"15_2021_08_17_18_38_41_203775.json","15_2021_08_17_18_39_02_842328.json"
78,2021-08-17 18:39:53,15,101578,0.515679534602578,"7",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",40061.069,200.153,115.129,51.914,6431.001,80.194,65.416,69.407,"15_2021_08_17_18_39_24_207971.json","15_2021_08_17_18_39_41_130446.json"
79,2021-08-17 18:48:23,15,101578,0.515679534602578,"45981",[],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",9235.182,96.1,60.966,13462967450152.516,4786.152,69.182,51.823,50.281,"15_2021_08_17_18_44_38_011185.json","15_2021_08_17_18_47_06_838859.json"
80,2021-08-17 18:49:10,4969,58760,0.456658430445736,"30",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",3024.381,54.994,42.485,45.483,751.433,27.412,22.025,36.253,"4969_2021_08_17_18_48_37_162017.json","4969_2021_08_17_18_48_56_761428.json"
81,2021-08-17 18:49:43,4969,58760,0.456658430445736,"7",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",1131761.123,1063.843,942.148,1361.268,2134.064,46.196,36.953,62.498,"4969_2021_08_17_18_49_15_608869.json","4969_2021_08_17_18_49_32_025988.json"
82,2021-08-17 18:54:16,4969,58760,0.456658430445736,"21770",[ 9 10 11 12 13 14 15 16 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",12637.234,112.415,91.139,6183649959174.771,1319.233,36.321,27.78,44.246,"4969_2021_08_17_18_52_21_534704.json","4969_2021_08_17_18_53_23_116626.json"
83,2021-08-17 18:54:57,4941,11965,0.575916212144492,"30",[ 9 10 11 12 13 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",165762.292,407.139,263.305,397.171,306.799,17.516,14.175,57.713,"4941_2021_08_17_18_54_26_205661.json","4941_2021_08_17_18_54_44_755652.json"
84,2021-08-17 18:55:30,4941,11965,0.575916212144492,"7",[ 9 10 11 12 13 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",5757970.827,2399.577,2353.749,9115.061,429.215,20.717,17.116,39.244,"4941_2021_08_17_18_55_03_070479.json","4941_2021_08_17_18_55_18_975122.json"
85,2021-08-17 18:57:06,4941,11965,0.575916212144492,"1270",[ 9 10 11 12 13 17 18 19 20],"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",1874.3,43.293,28.849,14369846860433.3,678.913,26.056,21.285,72.105,"4941_2021_08_17_18_56_15_533052.json","4941_2021_08_17_18_56_39_041611.json"
