Store ID,N Hours,N Hours Agg,N Hours Train,N Hours Test,RAW MAE,ROUND MAE,FLOOR MAE,CEIL MAE
60.0,4230.0,8749.0,8029.0,720.0,0.29713716394479983,0.2833333333333333,0.3638888888888889,0.3
61.0,3878.0,8725.0,8005.0,720.0,0.2479988416510146,0.23194444444444445,0.2763888888888889,0.30694444444444446
62.0,4251.0,8749.0,8029.0,720.0,0.27131970740905553,0.24861111111111112,0.36666666666666664,0.2722222222222222
63.0,3877.0,8725.0,8005.0,720.0,0.30819795671448535,0.29305555555555557,0.37777777777777777,0.29444444444444445
64.0,3895.0,8725.0,8005.0,720.0,0.4130556025929102,0.41944444444444445,0.6069444444444444,0.24861111111111112
65.0,4226.0,8749.0,8029.0,720.0,0.32428256451702303,0.31527777777777777,0.44305555555555554,0.3
66.0,3879.0,8725.0,8005.0,720.0,0.21249723987904873,0.2,0.2722222222222222,0.2361111111111111
67.0,3865.0,8725.0,8005.0,720.0,0.2167840779976871,0.20694444444444443,0.26666666666666666,0.24722222222222223
68.0,4145.0,8749.0,8029.0,720.0,0.6817301651367309,0.6888888888888889,0.6444444444444445,0.6986111111111111
69.0,3877.0,8725.0,8005.0,720.0,0.23674198827227286,0.20555555555555555,0.39444444444444443,0.2
71.0,3879.0,8725.0,8005.0,720.0,0.284965285597285,0.2569444444444444,0.3013888888888889,0.35694444444444445
72.0,3877.0,8725.0,8005.0,720.0,0.22564179640929877,0.2,0.24027777777777778,0.29583333333333334
73.0,3874.0,8725.0,8005.0,720.0,0.19511572620073747,0.17083333333333334,0.25833333333333336,0.2125
74.0,3872.0,8725.0,8005.0,720.0,0.16704934467783827,0.12083333333333333,0.2152777777777778,0.25555555555555554
75.0,3852.0,8725.0,8005.0,720.0,0.24945897124321267,0.24027777777777778,0.3013888888888889,0.26944444444444443
