,ds,y
29820,2015-01-09 16:30:00,6.0
29821,2015-01-09 16:45:00,12.0
29822,2015-01-09 17:00:00,11.0
29823,2015-01-09 17:15:00,14.0
135,2015-01-09 17:30:00,11.0
136,2015-01-09 17:45:00,12.0
137,2015-01-09 18:00:00,7.0
138,2015-01-09 18:15:00,11.0
139,2015-01-09 18:30:00,9.0
140,2015-01-09 18:45:00,7.0
141,2015-01-09 19:00:00,17.0
142,2015-01-09 19:15:00,15.0
143,2015-01-09 19:30:00,13.0
144,2015-01-09 19:45:00,16.0
145,2015-01-09 20:00:00,14.0
146,2015-01-09 20:15:00,21.0
147,2015-01-09 20:30:00,13.0
148,2015-01-09 20:45:00,9.0
149,2015-01-09 21:00:00,19.0
150,2015-01-09 21:15:00,10.0
151,2015-01-09 21:30:00,2.0
29835,2015-01-10 10:00:00,10.0
29836,2015-01-10 10:15:00,16.0
29837,2015-01-10 10:30:00,16.0
29838,2015-01-10 10:45:00,8.0
29839,2015-01-10 11:00:00,11.0
152,2015-01-10 11:15:00,3.0
153,2015-01-10 11:30:00,9.0
154,2015-01-10 11:45:00,2.0
155,2015-01-10 12:00:00,11.0
156,2015-01-10 12:15:00,15.0
157,2015-01-10 12:30:00,7.0
158,2015-01-10 12:45:00,8.0
159,2015-01-10 13:00:00,9.0
160,2015-01-10 13:15:00,3.0
161,2015-01-10 13:30:00,6.0
162,2015-01-10 13:45:00,15.0
163,2015-01-10 14:00:00,13.0
164,2015-01-10 14:15:00,14.0
165,2015-01-10 14:30:00,5.0
166,2015-01-10 14:45:00,3.0
167,2015-01-10 15:00:00,14.0
168,2015-01-10 15:15:00,13.0
169,2015-01-10 15:30:00,10.0
170,2015-01-10 15:45:00,9.0
171,2015-01-10 16:00:00,4.0
172,2015-01-10 16:15:00,6.0
173,2015-01-10 16:30:00,8.0
174,2015-01-10 16:45:00,8.0
175,2015-01-10 17:00:00,8.0
176,2015-01-10 17:15:00,6.0
177,2015-01-10 17:30:00,5.0
178,2015-01-10 17:45:00,10.0
103,2015-01-10 18:00:00,1.0
29856,2015-01-10 18:15:00,10.0
180,2015-01-10 18:30:00,11.0
29858,2015-01-10 18:45:00,12.0
29739,2015-01-10 19:00:00,7.0
29860,2015-01-10 19:15:00,15.0
29861,2015-01-10 19:30:00,7.0
181,2015-01-10 19:45:00,3.0
182,2015-01-10 20:00:00,3.0
29864,2015-01-10 20:15:00,15.0
29865,2015-01-10 20:30:00,9.0
29866,2015-01-10 20:45:00,12.0
29741,2015-01-10 21:00:00,6.0
29868,2015-01-10 21:15:00,10.0
29869,2015-01-10 21:30:00,2.0
29742,2015-01-10 22:00:00,5.0
29743,2015-01-10 23:00:00,1.0
29789,2015-01-11 18:00:00,3.0
29790,2015-01-11 19:00:00,10.0
29791,2015-01-11 20:00:00,3.0
29792,2015-01-11 21:00:00,5.0
29793,2015-01-11 22:00:00,12.0
29794,2015-01-11 23:00:00,4.0
29876,2015-01-12 10:00:00,11.0
29877,2015-01-12 10:15:00,6.0
29878,2015-01-12 10:30:00,14.0
29879,2015-01-12 10:45:00,12.0
29880,2015-01-12 11:00:00,10.0
183,2015-01-12 11:15:00,3.0
184,2015-01-12 11:30:00,4.0
29883,2015-01-12 11:45:00,15.0
185,2015-01-12 12:00:00,8.0
186,2015-01-12 12:15:00,2.0
187,2015-01-12 12:30:00,4.0
29887,2015-01-12 12:45:00,14.0
29888,2015-01-12 13:00:00,14.0
188,2015-01-12 13:15:00,3.0
189,2015-01-12 13:30:00,4.0
190,2015-01-12 13:45:00,7.0
191,2015-01-12 14:00:00,21.0
192,2015-01-12 14:15:00,22.0
193,2015-01-12 14:30:00,19.0
29893,2015-01-12 14:45:00,11.0
29894,2015-01-12 15:00:00,13.0
29895,2015-01-12 15:15:00,11.0
29896,2015-01-12 15:30:00,13.0
29897,2015-01-12 15:45:00,7.0
29898,2015-01-12 16:00:00,13.0
29899,2015-01-12 16:15:00,6.0
29900,2015-01-12 16:30:00,3.0
29901,2015-01-12 16:45:00,11.0
29902,2015-01-12 17:00:00,7.0
29903,2015-01-12 17:15:00,10.0
29904,2015-01-12 17:30:00,7.0
29905,2015-01-12 17:45:00,10.0
29829,2015-01-12 18:00:00,4.0
194,2015-01-12 18:15:00,10.0
195,2015-01-12 18:30:00,15.0
196,2015-01-12 18:45:00,12.0
197,2015-01-12 19:00:00,13.0
198,2015-01-12 19:15:00,12.0
199,2015-01-12 19:30:00,15.0
200,2015-01-12 19:45:00,17.0
201,2015-01-12 20:00:00,18.0
202,2015-01-12 20:15:00,11.0
203,2015-01-12 20:30:00,16.0
204,2015-01-12 20:45:00,7.0
205,2015-01-12 21:00:00,14.0
206,2015-01-12 21:15:00,8.0
29833,2015-01-12 22:00:00,8.0
29834,2015-01-12 23:00:00,6.0
29921,2015-01-13 10:00:00,12.0
