datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day
2018-10-29,274,Monday,23719,5805,824,2018,10,29
2018-10-30,274,Tuesday,22506,5923,821,2018,10,30
2018-10-31,274,Wednesday,21554,5613,899,2018,10,31
2018-11-01,274,Thursday,28145,7244,933,2018,11,1
2018-11-02,274,Friday,20122,4950,573,2018,11,2
2018-11-03,274,Saturday,22644,5519,740,2018,11,3
2018-11-04,274,Sunday,14676,3479,401,2018,11,4
2018-11-05,274,Monday,23817,5649,827,2018,11,5
2018-11-06,274,Tuesday,24484,5846,845,2018,11,6
2018-11-07,274,Wednesday,20329,5031,883,2018,11,7
2018-11-08,274,Thursday,27736,6940,935,2018,11,8
2018-11-09,274,Friday,27973,6602,941,2018,11,9
2018-11-10,274,Saturday,24427,6163,798,2018,11,10
2018-11-11,274,Sunday,16791,3933,518,2018,11,11
2018-11-12,274,Monday,23837,5926,847,2018,11,12
2018-11-13,274,Tuesday,21964,5557,848,2018,11,13
2018-11-14,274,Wednesday,24479,6091,989,2018,11,14
2018-11-15,274,Thursday,18937,4563,559,2018,11,15
2018-11-16,274,Friday,24489,6056,840,2018,11,16
2018-11-17,274,Saturday,19764,4969,661,2018,11,17
2018-11-18,274,Sunday,12010,2949,372,2018,11,18
2018-11-19,274,Monday,20579,4940,713,2018,11,19
2018-11-20,274,Tuesday,18392,4440,597,2018,11,20
2018-11-21,274,Wednesday,22333,5378,879,2018,11,21
2018-11-22,274,Thursday,28251,7083,977,2018,11,22
2018-11-23,274,Friday,25641,6377,825,2018,11,23
2018-11-24,274,Saturday,22627,5421,752,2018,11,24
2018-11-25,274,Sunday,19638,4452,516,2018,11,25
2018-11-26,274,Monday,21821,5336,747,2018,11,26
2018-11-27,274,Tuesday,21555,5286,840,2018,11,27
2018-11-28,274,Wednesday,21966,5443,890,2018,11,28
2018-11-29,274,Thursday,23107,5825,839,2018,11,29
2018-11-30,274,Friday,26434,6232,874,2018,11,30
2018-12-01,274,Saturday,23410,5676,767,2018,12,1
2018-12-02,274,Sunday,18225,3976,497,2018,12,2
2018-12-03,274,Monday,23847,5587,820,2018,12,3
2018-12-04,274,Tuesday,25230,5983,860,2018,12,4
2018-12-05,274,Wednesday,20621,5218,881,2018,12,5
2018-12-06,274,Thursday,26186,6314,924,2018,12,6
2018-12-07,274,Friday,27855,6938,975,2018,12,7
2018-12-08,274,Saturday,23720,5604,763,2018,12,8
2018-12-09,274,Sunday,18415,4193,494,2018,12,9
2018-12-10,274,Monday,25045,5673,847,2018,12,10
2018-12-11,274,Tuesday,24741,5903,887,2018,12,11
2018-12-12,274,Wednesday,21838,5545,934,2018,12,12
2018-12-13,274,Thursday,25662,6309,890,2018,12,13
2018-12-14,274,Friday,26940,6495,933,2018,12,14
2018-12-15,274,Saturday,25726,6183,799,2018,12,15
2018-12-16,274,Sunday,16171,3841,562,2018,12,16
2018-12-17,274,Monday,26228,6146,880,2018,12,17
2018-12-18,274,Tuesday,24687,5784,889,2018,12,18
2018-12-19,274,Wednesday,22179,5125,866,2018,12,19
2018-12-20,274,Thursday,27029,6713,901,2018,12,20
2018-12-21,274,Friday,28216,6678,899,2018,12,21
2018-12-22,274,Saturday,24051,5715,740,2018,12,22
2018-12-23,274,Sunday,21959,4837,606,2018,12,23
2018-12-24,274,Monday,24221,5597,720,2018,12,24
2018-12-26,274,Wednesday,18511,4626,765,2018,12,26
2018-12-27,274,Thursday,23522,5580,819,2018,12,27
2018-12-28,274,Friday,20760,5106,719,2018,12,28
2018-12-29,274,Saturday,18579,4486,605,2018,12,29
2018-12-30,274,Sunday,14161,3219,387,2018,12,30
2018-12-31,274,Monday,17639,4372,547,2018,12,31
2019-01-02,274,Wednesday,17657,4295,686,2019,1,2
2019-01-03,274,Thursday,20427,5037,712,2019,1,3
2019-01-04,274,Friday,20875,5199,714,2019,1,4
2019-01-05,274,Saturday,22390,5437,689,2019,1,5
2019-01-06,274,Sunday,15204,3669,447,2019,1,6
2019-01-07,274,Monday,22149,5195,790,2019,1,7
2019-01-08,274,Tuesday,22581,5477,817,2019,1,8
2019-01-09,274,Wednesday,18460,4731,816,2019,1,9
2019-01-10,274,Thursday,24039,6108,848,2019,1,10
2019-01-11,274,Friday,23164,5616,777,2019,1,11
2019-01-12,274,Saturday,23218,5792,762,2019,1,12
2019-01-13,274,Sunday,15533,3801,461,2019,1,13
2019-01-14,274,Monday,20775,4962,750,2019,1,14
2019-01-15,274,Tuesday,23316,5619,832,2019,1,15
2019-01-16,274,Wednesday,20995,5127,874,2019,1,16
2019-01-17,274,Thursday,23240,5549,786,2019,1,17
2019-01-18,274,Friday,26417,6664,907,2019,1,18
2019-01-19,274,Saturday,21695,5513,732,2019,1,19
2019-01-20,274,Sunday,15896,3940,468,2019,1,20
2019-01-21,274,Monday,25112,6086,825,2019,1,21
2019-01-22,274,Tuesday,20809,5206,760,2019,1,22
2019-01-23,274,Wednesday,20785,5274,866,2019,1,23
