index,imp_11_1,idx_11_1,imp_11_2,idx_11_2,imp_11_3,idx_11_3,imp_14_1,idx_14_1,imp_14_2,idx_14_2,imp_14_3,idx_14_3,imp_17_1,idx_17_1,imp_17_2,idx_17_2,imp_17_3,idx_17_3,imp_21_1,idx_21_1,imp_21_2,idx_21_2,imp_21_3,idx_21_3,imp_22_1,idx_22_1,imp_22_2,idx_22_2,imp_22_3,idx_22_3
10,0.05101630691826544,338,0.049516395469466394,338,0.047559885354545514,338,0.038612169093062074,325,0.040492793048433645,338,0.040306688517116676,338,0.036311124619121844,313,0.037062784057165864,78,0.0393650669825164,351,0.05688437498894277,156,0.0538570010326714,156,0.055385692673815594,234,0.0467883380534495,388,0.049347210377703114,387,0.048478559768619624,387
11,0.04665759757031458,386,0.0442562173657356,325,0.04646379415721856,325,0.03261903370824328,235,0.03446872558694541,247,0.0361055773302909,387,0.035827837164294274,351,0.03660448409076787,351,0.036538781587029466,286,0.05003572259969928,383,0.04903269749815296,234,0.05226887665036447,384,0.04619684686227519,338,0.048281185102702434,338,0.04788908971241151,338
12,0.04586719161172049,325,0.04394181950006754,386,0.04188241217963862,386,0.03127551042017068,386,0.034444623614380096,387,0.030595639381487464,247,0.03383721602449173,0,0.036256217096430496,221,0.03545188268117527,0,0.04873320905542404,234,0.045896646885017364,311,0.049020599714943956,387,0.04249761627497402,387,0.04721419184846203,351,0.04402904722474856,351
13,0.0429526590461248,378,0.038531192596530595,384,0.03784706070361656,311,0.030966353015480255,351,0.0316284003600501,235,0.030544790900261028,235,0.033654747398222,78,0.033886671969320194,0,0.03450940735379082,221,0.048633969026864385,311,0.04559773917222714,0,0.04794722689070682,0,0.04002833564927504,325,0.037909484462629914,299,0.038434188038545807,325
14,0.04092169078698914,384,0.03698677396239622,378,0.03589102143058169,387,0.02897217595781846,387,0.028144337293321393,313,0.02834131730153164,351,0.03085627543978036,247,0.03128252431106015,247,0.030626316171522974,247,0.04655913105017957,0,0.04473749226873617,387,0.04701244989483569,383,0.036845958727940234,370,0.036469496029539604,325,0.03828285881805838,299
15,0.03685772047513418,311,0.0368648418194585,311,0.03437225263824586,221,0.02847679094083771,247,0.027545552167481883,385,0.027365331957058987,299,0.029171599715011633,13,0.02903550131836935,13,0.027618612560491602,13,0.039797611865058174,387,0.04467241483992937,383,0.04096955028843839,311,0.036280169527851416,324,0.035019990776698914,370,0.03086519746101129,313
16,0.03504993628469856,351,0.033520373072405726,387,0.03268075414592827,378,0.027653555857553976,299,0.027059476765352357,299,0.02683433897140689,313,0.025581598487973943,39,0.02530550493840482,39,0.024880591604576268,39,0.03306153209520637,365,0.033843682936463323,235,0.033047012126594486,365,0.03616793290831308,182,0.03484481704138049,182,0.030473221315558803,182
17,0.033221870094730405,387,0.03207842709582293,310,0.03193124498301182,384,0.025797337901030084,313,0.026861546551848962,351,0.026590979913608755,385,0.02338038026542726,91,0.023789548066251522,91,0.02226466150267147,388,0.030576698240580565,371,0.030930918457119285,371,0.029267714037552527,371,0.0338135907892205,299,0.03437135134035028,385,0.029987953288866907,385
18,0.03085713806281887,383,0.03097190271687755,221,0.03062375656684251,351,0.025609707663892756,384,0.026296235593241374,386,0.025811957942874154,386,0.022709182742649155,65,0.02139043948221489,130,0.022175578446448123,91,0.028157984923375932,235,0.030790653938778452,365,0.028709043468213312,235,0.031818686607048015,313,0.033129395983060785,235,0.02911124095128171,235
19,0.03078192287234831,260,0.03008365797617496,351,0.029045646697141006,310,0.025235049987016856,91,0.02598036759033796,53,0.024944332118484097,76,0.022695168545106982,49,0.020800502047599298,49,0.01980848466142839,130,0.02684979711238914,286,0.028115761026392586,350,0.0275532825132754,350,0.02885647920452656,235,0.032998998059653804,324,0.02784557068605207,324
