datetime,store,weekday,sales,products_sold,clients_that_bought,halfhour,year,month,day
2019-08-06 11:30:00,1027,Tuesday,407.39001,116,20,23,2019,8,6
2019-08-06 12:00:00,1027,Tuesday,262.73999,80,26,24,2019,8,6
2019-08-06 12:30:00,1027,Tuesday,225.41,78,20,25,2019,8,6
2019-08-06 13:00:00,1027,Tuesday,222.53,93,22,26,2019,8,6
2019-08-06 13:30:00,1027,Tuesday,410.85001,109,20,27,2019,8,6
2019-08-06 14:00:00,1027,Tuesday,519.69,130,26,28,2019,8,6
2019-08-06 14:30:00,1027,Tuesday,367.57001,132,29,29,2019,8,6
2019-08-06 15:00:00,1027,Tuesday,166.33,54,17,30,2019,8,6
2019-08-06 15:30:00,1027,Tuesday,378.62,133,25,31,2019,8,6
2019-08-06 16:00:00,1027,Tuesday,241.82001,97,19,32,2019,8,6
2019-08-06 16:30:00,1027,Tuesday,236.67,80,17,33,2019,8,6
2019-08-06 17:00:00,1027,Tuesday,529.44,137,23,34,2019,8,6
2019-08-06 17:30:00,1027,Tuesday,623.85999,178,32,35,2019,8,6
2019-08-06 18:00:00,1027,Tuesday,427.01001,136,27,36,2019,8,6
2019-08-06 18:30:00,1027,Tuesday,580.85999,153,29,37,2019,8,6
2019-08-06 19:00:00,1027,Tuesday,541.9299900000002,142,26,38,2019,8,6
2019-08-06 19:30:00,1027,Tuesday,508.64001,136,23,39,2019,8,6
2019-08-06 20:00:00,1027,Tuesday,323.78,95,18,40,2019,8,6
2019-08-06 20:30:00,1027,Tuesday,20.620001,8,1,41,2019,8,6
2019-08-07 08:00:00,1027,Wednesday,136.03999,45,11,16,2019,8,7
2019-08-07 08:30:00,1027,Wednesday,243.12,85,23,17,2019,8,7
2019-08-07 09:00:00,1027,Wednesday,226.75999,78,20,18,2019,8,7
2019-08-07 09:30:00,1027,Wednesday,180.48,63,16,19,2019,8,7
2019-08-07 10:00:00,1027,Wednesday,207.94,53,17,20,2019,8,7
2019-08-07 10:30:00,1027,Wednesday,329.76999,91,19,21,2019,8,7
2019-08-07 11:00:00,1027,Wednesday,326.04001,106,21,22,2019,8,7
2019-08-07 11:30:00,1027,Wednesday,319.01001,102,23,23,2019,8,7
2019-08-07 12:00:00,1027,Wednesday,235.49001,67,18,24,2019,8,7
2019-08-07 12:30:00,1027,Wednesday,361.70001,93,22,25,2019,8,7
2019-08-07 13:00:00,1027,Wednesday,451.01001,118,25,26,2019,8,7
2019-08-07 13:30:00,1027,Wednesday,368.48001,98,28,27,2019,8,7
2019-08-07 14:00:00,1027,Wednesday,292.5,68,24,28,2019,8,7
2019-08-07 14:30:00,1027,Wednesday,201.14,70,16,29,2019,8,7
2019-08-07 15:00:00,1027,Wednesday,285.20001,74,14,30,2019,8,7
2019-08-07 15:30:00,1027,Wednesday,461.78,127,27,31,2019,8,7
2019-08-07 16:00:00,1027,Wednesday,525.78003,115,24,32,2019,8,7
2019-08-07 16:30:00,1027,Wednesday,341.48999,98,20,33,2019,8,7
2019-08-07 17:00:00,1027,Wednesday,349.82001,105,22,34,2019,8,7
2019-08-07 17:30:00,1027,Wednesday,406.81,115,25,35,2019,8,7
2019-08-07 18:00:00,1027,Wednesday,443.70001,137,32,36,2019,8,7
2019-08-07 18:30:00,1027,Wednesday,492.44,142,32,37,2019,8,7
2019-08-07 19:00:00,1027,Wednesday,491.60001,156,37,38,2019,8,7
2019-08-07 19:30:00,1027,Wednesday,597.2000099999998,135,27,39,2019,8,7
2019-08-07 20:00:00,1027,Wednesday,344.82999,88,23,40,2019,8,7
2019-08-07 20:30:00,1027,Wednesday,38.509998,14,1,41,2019,8,7
2019-08-07 21:00:00,1027,Wednesday,129.88,36,5,42,2019,8,7
2019-08-08 07:30:00,1027,Thursday,58.779999,11,1,15,2019,8,8
2019-08-08 08:00:00,1027,Thursday,188.73,68,18,16,2019,8,8
2019-08-08 08:30:00,1027,Thursday,620.66998,124,26,17,2019,8,8
2019-08-08 09:00:00,1027,Thursday,463.32999,130,23,18,2019,8,8
2019-08-08 09:30:00,1027,Thursday,547.89001,149,30,19,2019,8,8
2019-08-08 10:00:00,1027,Thursday,312.73999,96,24,20,2019,8,8
2019-08-08 10:30:00,1027,Thursday,386.54001,124,23,21,2019,8,8
2019-08-08 11:00:00,1027,Thursday,500.26999000000006,127,26,22,2019,8,8
2019-08-08 11:30:00,1027,Thursday,477.19,138,26,23,2019,8,8
2019-08-08 12:00:00,1027,Thursday,318.39999,103,23,24,2019,8,8
2019-08-08 12:30:00,1027,Thursday,412.42999,141,27,25,2019,8,8
2019-08-08 13:00:00,1027,Thursday,385.69,106,23,26,2019,8,8
2019-08-08 13:30:00,1027,Thursday,431.29999,133,26,27,2019,8,8
2019-08-08 14:00:00,1027,Thursday,197.78,58,16,28,2019,8,8
