datetime,store,weekday,sales,products_sold,clients_that_bought,halfhour,year,month,day
2020-03-11 20:30:00,274,wednesday,2378,372,32,41,2020,3,11
2020-03-12 08:30:00,274,thursday,1302,336,42,17,2020,3,12
2020-03-12 09:00:00,274,thursday,1461,318,34,18,2020,3,12
2020-03-12 09:30:00,274,thursday,2775,548,36,19,2020,3,12
2020-03-12 10:00:00,274,thursday,1908,421,36,20,2020,3,12
2020-03-12 10:30:00,274,thursday,2614,559,40,21,2020,3,12
2020-03-12 11:00:00,274,thursday,2907,542,48,22,2020,3,12
2020-03-12 11:30:00,274,thursday,2589,502,32,23,2020,3,12
2020-03-12 12:00:00,274,thursday,5361,1022,45,24,2020,3,12
2020-03-12 12:30:00,274,thursday,3850,727,29,25,2020,3,12
2020-03-12 13:00:00,274,thursday,1953,450,48,26,2020,3,12
2020-03-12 13:30:00,274,thursday,2613,522,49,27,2020,3,12
2020-03-12 14:00:00,274,thursday,2143,377,46,28,2020,3,12
2020-03-12 14:30:00,274,thursday,3694,708,26,29,2020,3,12
2020-03-12 15:00:00,274,thursday,4367,841,46,30,2020,3,12
2020-03-12 15:30:00,274,thursday,4438,839,50,31,2020,3,12
2020-03-12 16:00:00,274,thursday,2007,402,46,32,2020,3,12
2020-03-12 16:30:00,274,thursday,3512,758,58,33,2020,3,12
2020-03-12 17:00:00,274,thursday,4201,973,45,34,2020,3,12
2020-03-12 17:30:00,274,thursday,2346,518,51,35,2020,3,12
2020-03-12 18:00:00,274,thursday,4217,844,57,36,2020,3,12
2020-03-12 18:30:00,274,thursday,2573,621,37,37,2020,3,12
2020-03-12 19:00:00,274,thursday,2458,502,45,38,2020,3,12
2020-03-12 19:30:00,274,thursday,3571,727,40,39,2020,3,12
2020-03-12 20:00:00,274,thursday,2507,450,39,40,2020,3,12
2020-03-12 20:30:00,274,thursday,2335,465,32,41,2020,3,12
2020-03-13 08:30:00,274,friday,2361,416,38,17,2020,3,13
2020-03-13 09:00:00,274,friday,1749,355,46,18,2020,3,13
2020-03-13 09:30:00,274,friday,3815,798,43,19,2020,3,13
2020-03-13 10:00:00,274,friday,3610,736,41,20,2020,3,13
2020-03-13 10:30:00,274,friday,3692,681,41,21,2020,3,13
2020-03-13 11:00:00,274,friday,3376,633,50,22,2020,3,13
2020-03-13 11:30:00,274,friday,4202,848,40,23,2020,3,13
2020-03-13 12:00:00,274,friday,4338,896,41,24,2020,3,13
2020-03-13 12:30:00,274,friday,4116,872,55,25,2020,3,13
2020-03-13 13:00:00,274,friday,2804,556,44,26,2020,3,13
2020-03-13 13:30:00,274,friday,2163,552,52,27,2020,3,13
2020-03-13 14:00:00,274,friday,1279,328,26,28,2020,3,13
2020-03-13 14:30:00,274,friday,1646,418,30,29,2020,3,13
2020-03-13 15:00:00,274,friday,3665,728,50,30,2020,3,13
2020-03-13 15:30:00,274,friday,3565,666,41,31,2020,3,13
2020-03-13 16:00:00,274,friday,5242,971,46,32,2020,3,13
2020-03-13 16:30:00,274,friday,3260,665,55,33,2020,3,13
2020-03-13 17:00:00,274,friday,4152,762,37,34,2020,3,13
2020-03-13 17:30:00,274,friday,3676,771,44,35,2020,3,13
2020-03-13 18:00:00,274,friday,3208,661,30,36,2020,3,13
2020-03-13 18:30:00,274,friday,3351,650,44,37,2020,3,13
2020-03-13 19:00:00,274,friday,2844,585,39,38,2020,3,13
2020-03-13 19:30:00,274,friday,1718,316,25,39,2020,3,13
2020-03-13 20:00:00,274,friday,2251,490,25,40,2020,3,13
2020-03-13 20:30:00,274,friday,2156,408,32,41,2020,3,13
2020-03-14 08:30:00,274,saturday,2060,388,31,17,2020,3,14
2020-03-14 09:00:00,274,saturday,1601,358,26,18,2020,3,14
2020-03-14 09:30:00,274,saturday,2189,459,23,19,2020,3,14
2020-03-14 10:00:00,274,saturday,3658,765,51,20,2020,3,14
2020-03-14 10:30:00,274,saturday,6171,1362,67,21,2020,3,14
2020-03-14 11:00:00,274,saturday,4847,1064,58,22,2020,3,14
2020-03-14 11:30:00,274,saturday,1924,436,34,23,2020,3,14
2020-03-14 12:00:00,274,saturday,5216,937,54,24,2020,3,14
2020-03-14 12:30:00,274,saturday,3958,794,47,25,2020,3,14
2020-03-14 13:00:00,274,saturday,3859,740,55,26,2020,3,14
2020-03-14 13:30:00,274,saturday,4530,908,51,27,2020,3,14
2020-03-14 14:00:00,274,saturday,3304,632,34,28,2020,3,14
2020-03-14 14:30:00,274,saturday,4185,820,40,29,2020,3,14
2020-03-14 15:00:00,274,saturday,3667,763,40,30,2020,3,14
2020-03-14 15:30:00,274,saturday,2872,550,43,31,2020,3,14
2020-03-14 16:00:00,274,saturday,2834,577,48,32,2020,3,14
2020-03-14 16:30:00,274,saturday,2654,569,37,33,2020,3,14
2020-03-14 17:00:00,274,saturday,2705,605,42,34,2020,3,14
2020-03-14 17:30:00,274,saturday,2934,656,48,35,2020,3,14
2020-03-14 18:00:00,274,saturday,4401,915,53,36,2020,3,14
2020-03-14 18:30:00,274,saturday,3817,766,45,37,2020,3,14
2020-03-14 19:00:00,274,saturday,4406,865,44,38,2020,3,14
2020-03-14 19:30:00,274,saturday,3035,562,39,39,2020,3,14
2020-03-14 20:00:00,274,saturday,2503,511,33,40,2020,3,14
2020-03-14 20:30:00,274,saturday,1384,267,23,41,2020,3,14
2020-03-15 08:30:00,274,sunday,2754,478,23,17,2020,3,15
2020-03-15 09:00:00,274,sunday,2448,461,30,18,2020,3,15
2020-03-15 09:30:00,274,sunday,2431,465,33,19,2020,3,15
2020-03-15 10:00:00,274,sunday,2771,433,23,20,2020,3,15
2020-03-15 10:30:00,274,sunday,3426,614,36,21,2020,3,15
2020-03-15 11:00:00,274,sunday,2844,549,40,22,2020,3,15
2020-03-15 11:30:00,274,sunday,2739,604,40,23,2020,3,15
2020-03-15 12:00:00,274,sunday,2648,549,45,24,2020,3,15
2020-03-15 12:30:00,274,sunday,4101,738,36,25,2020,3,15
2020-03-15 13:00:00,274,sunday,4978,973,39,26,2020,3,15
2020-03-15 13:30:00,274,sunday,3349,650,44,27,2020,3,15
2020-03-15 14:00:00,274,sunday,3813,748,33,28,2020,3,15
2020-03-15 14:30:00,274,sunday,3110,605,43,29,2020,3,15
2020-03-15 15:00:00,274,sunday,1927,386,20,30,2020,3,15
2020-03-15 15:30:00,274,sunday,1653,346,33,31,2020,3,15
2020-03-15 16:00:00,274,sunday,1808,344,18,32,2020,3,15
2020-03-15 16:30:00,274,sunday,2392,413,17,33,2020,3,15
2020-03-15 17:00:00,274,sunday,2116,417,30,34,2020,3,15
2020-03-15 17:30:00,274,sunday,2763,516,27,35,2020,3,15
2020-03-15 18:00:00,274,sunday,2034,317,24,36,2020,3,15
2020-03-15 18:30:00,274,sunday,2898,572,24,37,2020,3,15
2020-03-15 19:00:00,274,sunday,1826,383,24,38,2020,3,15
2020-03-15 19:30:00,274,sunday,3291,628,40,39,2020,3,15
2020-03-15 20:00:00,274,sunday,1346,268,16,40,2020,3,15
2020-03-15 20:30:00,274,sunday,970,184,20,41,2020,3,15
2020-03-16 08:30:00,274,monday,2882,526,48,17,2020,3,16
2020-03-16 09:00:00,274,monday,1980,404,52,18,2020,3,16
2020-03-16 09:30:00,274,monday,3290,614,65,19,2020,3,16
2020-03-16 10:00:00,274,monday,5347,1113,50,20,2020,3,16
2020-03-16 10:30:00,274,monday,4591,904,49,21,2020,3,16
2020-03-16 11:00:00,274,monday,3375,652,46,22,2020,3,16
2020-03-16 11:30:00,274,monday,4746,865,50,23,2020,3,16
2020-03-16 12:00:00,274,monday,4716,904,46,24,2020,3,16
2020-03-16 12:30:00,274,monday,3881,815,51,25,2020,3,16
2020-03-16 13:00:00,274,monday,2197,456,42,26,2020,3,16
2020-03-16 13:30:00,274,monday,2666,559,32,27,2020,3,16
2020-03-16 14:00:00,274,monday,3091,691,42,28,2020,3,16
2020-03-16 14:30:00,274,monday,2454,570,35,29,2020,3,16
2020-03-16 15:00:00,274,monday,3489,912,43,30,2020,3,16
2020-03-16 15:30:00,274,monday,3993,786,51,31,2020,3,16
2020-03-16 16:00:00,274,monday,4150,867,47,32,2020,3,16
2020-03-16 16:30:00,274,monday,3148,672,39,33,2020,3,16
2020-03-16 17:00:00,274,monday,2979,646,39,34,2020,3,16
2020-03-16 17:30:00,274,monday,3955,818,36,35,2020,3,16
2020-03-16 18:00:00,274,monday,1970,442,38,36,2020,3,16
2020-03-16 18:30:00,274,monday,2096,421,39,37,2020,3,16
2020-03-16 19:00:00,274,monday,3214,614,45,38,2020,3,16
2020-03-16 19:30:00,274,monday,1670,346,36,39,2020,3,16
2020-03-16 20:00:00,274,monday,2444,496,28,40,2020,3,16
2020-03-16 20:30:00,274,monday,3659,690,42,41,2020,3,16
2020-03-17 08:30:00,274,tuesday,1877,405,31,17,2020,3,17
2020-03-17 09:00:00,274,tuesday,1721,374,41,18,2020,3,17
2020-03-17 09:30:00,274,tuesday,2456,475,44,19,2020,3,17
2020-03-17 10:00:00,274,tuesday,2812,534,39,20,2020,3,17
2020-03-17 10:30:00,274,tuesday,3906,791,35,21,2020,3,17
2020-03-17 11:00:00,274,tuesday,3356,650,53,22,2020,3,17
2020-03-17 11:30:00,274,tuesday,2381,498,45,23,2020,3,17
2020-03-17 12:00:00,274,tuesday,4699,988,53,24,2020,3,17
2020-03-17 12:30:00,274,tuesday,6403,1135,53,25,2020,3,17
2020-03-17 13:00:00,274,tuesday,4027,872,44,26,2020,3,17
2020-03-17 13:30:00,274,tuesday,4806,1019,50,27,2020,3,17
2020-03-17 14:00:00,274,tuesday,4191,811,49,28,2020,3,17
