datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2020-05-05 13:00:00,290,Tuesday,1782.98,515,24,2020,5,5,26
2020-05-05 13:30:00,290,Tuesday,668.2000099999998,189,15,2020,5,5,27
2020-05-05 14:00:00,290,Tuesday,1882.03,446,23,2020,5,5,28
2020-05-05 14:30:00,290,Tuesday,2291.3701,655,28,2020,5,5,29
2020-05-05 15:00:00,290,Tuesday,1118.99,279,20,2020,5,5,30
2020-05-05 15:30:00,290,Tuesday,765.9500099999997,160,13,2020,5,5,31
2020-05-05 16:00:00,290,Tuesday,1516.84,386,26,2020,5,5,32
2020-05-05 16:30:00,290,Tuesday,1727.97,459,26,2020,5,5,33
2020-05-05 17:00:00,290,Tuesday,757.3200099999997,222,17,2020,5,5,34
2020-05-05 17:30:00,290,Tuesday,1292.14,376,31,2020,5,5,35
2020-05-05 18:00:00,290,Tuesday,1726.0699,482,25,2020,5,5,36
2020-05-05 18:30:00,290,Tuesday,1819.59,477,35,2020,5,5,37
2020-05-05 19:00:00,290,Tuesday,895.73999,252,18,2020,5,5,38
2020-05-05 19:30:00,290,Tuesday,571.4500099999998,186,14,2020,5,5,39
2020-05-05 20:00:00,290,Tuesday,189.47,54,4,2020,5,5,40
2020-05-06 07:30:00,290,Wednesday,4.4699998,2,2,2020,5,6,15
2020-05-06 08:00:00,290,Wednesday,10.81,5,2,2020,5,6,16
2020-05-06 08:30:00,290,Wednesday,175.94,53,9,2020,5,6,17
2020-05-06 09:00:00,290,Wednesday,768.5499900000003,214,10,2020,5,6,18
2020-05-06 09:30:00,290,Wednesday,789.09998,208,15,2020,5,6,19
2020-05-06 10:00:00,290,Wednesday,441.34,114,9,2020,5,6,20
2020-05-06 10:30:00,290,Wednesday,1912.4301,466,15,2020,5,6,21
2020-05-06 11:00:00,290,Wednesday,932.5399800000001,255,11,2020,5,6,22
2020-05-06 11:30:00,290,Wednesday,869.5,220,11,2020,5,6,23
2020-05-06 12:00:00,290,Wednesday,1583.4301,414,16,2020,5,6,24
2020-05-06 12:30:00,290,Wednesday,2177.52,530,18,2020,5,6,25
2020-05-06 13:00:00,290,Wednesday,781.96002,214,20,2020,5,6,26
2020-05-06 13:30:00,290,Wednesday,917.2299800000001,181,15,2020,5,6,27
2020-05-06 14:00:00,290,Wednesday,1217.64,304,16,2020,5,6,28
2020-05-06 14:30:00,290,Wednesday,1012.23,270,15,2020,5,6,29
2020-05-06 15:00:00,290,Wednesday,2142.6899,715,24,2020,5,6,30
2020-05-06 15:30:00,290,Wednesday,1430.65,362,27,2020,5,6,31
2020-05-06 16:00:00,290,Wednesday,1601.88,458,32,2020,5,6,32
2020-05-06 16:30:00,290,Wednesday,1801.41,537,25,2020,5,6,33
2020-05-06 17:00:00,290,Wednesday,1953.65,455,23,2020,5,6,34
2020-05-06 17:30:00,290,Wednesday,901.2000099999999,261,23,2020,5,6,35
2020-05-06 18:00:00,290,Wednesday,469.97,109,14,2020,5,6,36
2020-05-06 18:30:00,290,Wednesday,605.75,162,20,2020,5,6,37
2020-05-06 19:00:00,290,Wednesday,188.24001,41,5,2020,5,6,38
2020-05-06 20:30:00,290,Wednesday,110.6,33,4,2020,5,6,41
2020-05-06 21:00:00,290,Wednesday,74.83000200000002,15,6,2020,5,6,42
2020-05-07 07:30:00,290,Thursday,3.0799999,2,1,2020,5,7,15
2020-05-07 08:00:00,290,Thursday,67.709999,8,2,2020,5,7,16
2020-05-07 08:30:00,290,Thursday,447.75,99,7,2020,5,7,17
2020-05-07 09:00:00,290,Thursday,1257.73,336,12,2020,5,7,18
2020-05-07 09:30:00,290,Thursday,660.65997,204,17,2020,5,7,19
2020-05-07 10:00:00,290,Thursday,848.69,197,16,2020,5,7,20
2020-05-07 10:30:00,290,Thursday,1542.62,366,16,2020,5,7,21
