,ds,y,store
579,2018-04-24 10:30:00,14,4956
580,2018-04-24 11:00:00,14,4956
581,2018-04-24 11:30:00,70,4956
582,2018-04-24 12:00:00,44,4956
583,2018-04-24 12:30:00,42,4956
584,2018-04-24 13:00:00,42,4956
585,2018-04-24 13:30:00,80,4956
586,2018-04-24 14:00:00,34,4956
587,2018-04-24 14:30:00,47,4956
588,2018-04-24 15:00:00,29,4956
589,2018-04-24 15:30:00,35,4956
590,2018-04-24 16:00:00,6,4956
591,2018-04-24 16:30:00,12,4956
592,2018-04-24 17:00:00,10,4956
593,2018-04-24 17:30:00,19,4956
594,2018-04-24 18:00:00,19,4956
595,2018-04-24 18:30:00,25,4956
596,2018-04-24 19:00:00,75,4956
597,2018-04-24 19:30:00,110,4956
598,2018-04-24 20:00:00,57,4956
599,2018-04-24 20:30:00,46,4956
600,2018-04-24 21:00:00,29,4956
601,2018-04-24 21:30:00,2,4956
602,2018-04-24 22:00:00,0,4956
603,2018-04-24 22:30:00,0,4956
604,2018-04-24 23:00:00,0,4956
605,2018-04-24 23:30:00,0,4956
606,2018-04-25 00:00:00,0,4956
607,2018-04-25 00:30:00,0,4956
608,2018-04-25 01:00:00,0,4956
609,2018-04-25 01:30:00,0,4956
610,2018-04-25 02:00:00,0,4956
611,2018-04-25 02:30:00,0,4956
612,2018-04-25 03:00:00,0,4956
613,2018-04-25 03:30:00,0,4956
614,2018-04-25 04:00:00,0,4956
615,2018-04-25 04:30:00,0,4956
616,2018-04-25 05:00:00,0,4956
617,2018-04-25 05:30:00,0,4956
618,2018-04-25 06:00:00,0,4956
619,2018-04-25 06:30:00,0,4956
620,2018-04-25 07:00:00,0,4956
621,2018-04-25 07:30:00,0,4956
622,2018-04-25 08:00:00,0,4956
623,2018-04-25 08:30:00,0,4956
624,2018-04-25 09:00:00,0,4956
625,2018-04-25 09:30:00,8,4956
626,2018-04-25 10:00:00,31,4956
627,2018-04-25 10:30:00,21,4956
628,2018-04-25 11:00:00,35,4956
629,2018-04-25 11:30:00,24,4956
630,2018-04-25 12:00:00,39,4956
631,2018-04-25 12:30:00,51,4956
632,2018-04-25 13:00:00,68,4956
633,2018-04-25 13:30:00,70,4956
634,2018-04-25 14:00:00,30,4956
635,2018-04-25 14:30:00,49,4956
636,2018-04-25 15:00:00,21,4956
637,2018-04-25 15:30:00,28,4956
638,2018-04-25 16:00:00,28,4956
639,2018-04-25 16:30:00,8,4956
640,2018-04-25 17:00:00,10,4956
641,2018-04-25 17:30:00,9,4956
642,2018-04-25 18:00:00,23,4956
643,2018-04-25 18:30:00,58,4956
644,2018-04-25 19:00:00,31,4956
645,2018-04-25 19:30:00,28,4956
646,2018-04-25 20:00:00,114,4956
647,2018-04-25 20:30:00,85,4956
648,2018-04-25 21:00:00,40,4956
649,2018-04-25 21:30:00,10,4956
650,2018-04-25 22:00:00,0,4956
651,2018-04-25 22:30:00,0,4956
652,2018-04-25 23:00:00,0,4956
653,2018-04-25 23:30:00,0,4956
654,2018-04-26 00:00:00,0,4956
655,2018-04-26 00:30:00,0,4956
656,2018-04-26 01:00:00,0,4956
657,2018-04-26 01:30:00,0,4956
658,2018-04-26 02:00:00,0,4956
659,2018-04-26 02:30:00,0,4956
660,2018-04-26 03:00:00,0,4956
661,2018-04-26 03:30:00,0,4956
662,2018-04-26 04:00:00,0,4956
663,2018-04-26 04:30:00,0,4956
664,2018-04-26 05:00:00,0,4956
665,2018-04-26 05:30:00,0,4956
666,2018-04-26 06:00:00,0,4956
667,2018-04-26 06:30:00,0,4956
