,ts,visitors
29707,2015-01-07 11:00:00,10.0
95479,2015-01-07 11:00:00,2.0
126972,2015-01-07 11:15:00,6.0
95480,2015-01-07 11:15:00,7.0
126973,2015-01-07 11:30:00,9.0
95481,2015-01-07 11:30:00,1.0
29709,2015-01-07 11:30:00,15.0
29710,2015-01-07 11:45:00,2.0
95482,2015-01-07 11:45:00,2.0
126974,2015-01-07 11:45:00,14.0
29711,2015-01-07 12:00:00,12.0
126975,2015-01-07 12:00:00,15.0
95483,2015-01-07 12:00:00,2.0
126976,2015-01-07 12:15:00,11.0
29712,2015-01-07 12:15:00,12.0
95484,2015-01-07 12:15:00,5.0
29713,2015-01-07 12:30:00,15.0
126977,2015-01-07 12:30:00,20.0
126978,2015-01-07 12:45:00,18.0
95485,2015-01-07 12:45:00,2.0
29714,2015-01-07 12:45:00,12.0
126979,2015-01-07 13:00:00,9.0
95486,2015-01-07 13:00:00,12.0
29715,2015-01-07 13:00:00,13.0
126980,2015-01-07 13:15:00,20.0
29716,2015-01-07 13:15:00,11.0
95487,2015-01-07 13:30:00,10.0
29717,2015-01-07 13:30:00,16.0
126981,2015-01-07 13:30:00,15.0
29718,2015-01-07 13:45:00,15.0
126982,2015-01-07 13:45:00,18.0
126983,2015-01-07 14:00:00,15.0
95488,2015-01-07 14:00:00,11.0
29719,2015-01-07 14:00:00,10.0
95489,2015-01-07 14:15:00,10.0
126984,2015-01-07 14:15:00,13.0
29720,2015-01-07 14:15:00,3.0
126985,2015-01-07 14:30:00,13.0
29721,2015-01-07 14:30:00,1.0
95490,2015-01-07 14:30:00,7.0
126986,2015-01-07 14:45:00,7.0
95491,2015-01-07 14:45:00,9.0
95492,2015-01-07 15:00:00,12.0
95493,2015-01-07 15:15:00,10.0
95494,2015-01-07 15:30:00,2.0
95495,2015-01-07 15:45:00,4.0
95496,2015-01-07 16:00:00,4.0
95497,2015-01-07 16:15:00,8.0
95498,2015-01-07 16:30:00,5.0
95499,2015-01-07 16:45:00,4.0
95500,2015-01-07 17:00:00,10.0
95501,2015-01-07 17:15:00,10.0
29733,2015-01-07 17:30:00,1.0
95502,2015-01-07 17:30:00,10.0
95503,2015-01-07 17:45:00,9.0
95504,2015-01-07 18:00:00,15.0
126987,2015-01-07 18:15:00,11.0
95505,2015-01-07 18:15:00,3.0
126988,2015-01-07 18:30:00,9.0
95506,2015-01-07 18:30:00,4.0
126989,2015-01-07 18:45:00,12.0
29734,2015-01-07 18:45:00,6.0
95507,2015-01-07 18:45:00,2.0
126990,2015-01-07 19:00:00,13.0
29735,2015-01-07 19:00:00,6.0
126991,2015-01-07 19:15:00,12.0
95508,2015-01-07 19:30:00,6.0
126992,2015-01-07 19:30:00,10.0
126993,2015-01-07 19:45:00,15.0
126994,2015-01-07 20:00:00,19.0
126995,2015-01-07 20:15:00,13.0
95509,2015-01-07 20:15:00,4.0
29736,2015-01-07 20:30:00,7.0
126996,2015-01-07 20:30:00,14.0
29737,2015-01-07 20:45:00,3.0
95510,2015-01-07 20:45:00,7.0
126997,2015-01-07 20:45:00,13.0
95511,2015-01-07 21:00:00,1.0
126998,2015-01-07 21:00:00,8.0
126999,2015-01-07 21:15:00,6.0
127006,2015-01-08 10:00:00,11.0
127007,2015-01-08 10:15:00,9.0
127008,2015-01-08 10:30:00,7.0
127009,2015-01-08 10:45:00,8.0
127010,2015-01-08 11:00:00,9.0
95512,2015-01-08 11:00:00,4.0
29749,2015-01-08 11:15:00,4.0
127011,2015-01-08 11:15:00,8.0
127012,2015-01-08 11:30:00,15.0
29750,2015-01-08 11:30:00,9.0
127013,2015-01-08 11:45:00,10.0
127014,2015-01-08 12:00:00,5.0
95513,2015-01-08 12:00:00,15.0
95514,2015-01-08 12:15:00,5.0
127015,2015-01-08 12:15:00,9.0
29753,2015-01-08 12:15:00,11.0
29754,2015-01-08 12:30:00,7.0
127016,2015-01-08 12:30:00,12.0
95515,2015-01-08 12:30:00,9.0
29755,2015-01-08 12:45:00,12.0
127017,2015-01-08 12:45:00,13.0
95516,2015-01-08 13:00:00,12.0
127018,2015-01-08 13:00:00,19.0
95517,2015-01-08 13:15:00,10.0
127019,2015-01-08 13:15:00,13.0
29757,2015-01-08 13:15:00,14.0
127020,2015-01-08 13:30:00,8.0
95518,2015-01-08 13:30:00,7.0
29759,2015-01-08 13:45:00,15.0
95519,2015-01-08 13:45:00,4.0
127021,2015-01-08 13:45:00,17.0
127022,2015-01-08 14:00:00,14.0
29760,2015-01-08 14:00:00,6.0
95520,2015-01-08 14:00:00,5.0
127023,2015-01-08 14:15:00,19.0
95521,2015-01-08 14:15:00,10.0
127024,2015-01-08 14:30:00,8.0
29761,2015-01-08 14:30:00,9.0
127025,2015-01-08 14:45:00,6.0
95522,2015-01-08 14:45:00,3.0
95523,2015-01-08 15:00:00,13.0
95524,2015-01-08 15:15:00,7.0
95525,2015-01-08 15:30:00,5.0
95526,2015-01-08 15:45:00,5.0
95527,2015-01-08 16:00:00,4.0
95528,2015-01-08 16:15:00,5.0
95529,2015-01-08 16:30:00,7.0
95530,2015-01-08 16:45:00,7.0
95531,2015-01-08 17:00:00,7.0
95532,2015-01-08 17:15:00,8.0
95533,2015-01-08 17:30:00,9.0
29773,2015-01-08 17:30:00,1.0
95534,2015-01-08 17:45:00,14.0
29697,2015-01-08 18:00:00,1.0
29774,2015-01-08 18:00:00,8.0
126961,2015-01-08 18:00:00,2.0
127026,2015-01-08 18:00:00,9.0
127027,2015-01-08 18:15:00,9.0
127028,2015-01-08 18:30:00,7.0
127029,2015-01-08 18:45:00,10.0
127030,2015-01-08 19:00:00,11.0
29778,2015-01-08 19:00:00,9.0
126962,2015-01-08 19:00:00,4.0
127031,2015-01-08 19:15:00,17.0
29779,2015-01-08 19:15:00,13.0
127032,2015-01-08 19:30:00,8.0
29780,2015-01-08 19:30:00,7.0
127033,2015-01-08 19:45:00,11.0
29781,2015-01-08 19:45:00,13.0
126963,2015-01-08 20:00:00,5.0
127034,2015-01-08 20:00:00,13.0
29782,2015-01-08 20:00:00,20.0
127035,2015-01-08 20:15:00,10.0
29784,2015-01-08 20:30:00,12.0
127036,2015-01-08 20:30:00,13.0
127037,2015-01-08 20:45:00,14.0
95535,2015-01-08 20:45:00,3.0
29785,2015-01-08 20:45:00,17.0
126964,2015-01-08 21:00:00,3.0
127038,2015-01-08 21:00:00,11.0
29786,2015-01-08 21:00:00,16.0
29787,2015-01-08 21:15:00,4.0
127039,2015-01-08 21:15:00,8.0
126965,2015-01-08 22:00:00,7.0
126966,2015-01-08 23:00:00,4.0
127046,2015-01-09 10:00:00,10.0
95536,2015-01-09 10:15:00,6.0
127047,2015-01-09 10:15:00,3.0
127048,2015-01-09 10:30:00,11.0
95537,2015-01-09 10:30:00,1.0
29797,2015-01-09 10:30:00,6.0
127049,2015-01-09 10:45:00,13.0
29798,2015-01-09 10:45:00,11.0
29799,2015-01-09 11:00:00,7.0
127050,2015-01-09 11:00:00,12.0
127051,2015-01-09 11:15:00,13.0
127052,2015-01-09 11:30:00,12.0
29801,2015-01-09 11:30:00,12.0
95538,2015-01-09 11:30:00,3.0
95539,2015-01-09 11:45:00,2.0
127053,2015-01-09 11:45:00,13.0
127054,2015-01-09 12:00:00,11.0
95540,2015-01-09 12:00:00,10.0
127055,2015-01-09 12:15:00,12.0
29804,2015-01-09 12:15:00,13.0
95541,2015-01-09 12:15:00,6.0
29805,2015-01-09 12:30:00,14.0
127056,2015-01-09 12:30:00,11.0
95542,2015-01-09 12:30:00,6.0
95543,2015-01-09 12:45:00,11.0
127057,2015-01-09 12:45:00,10.0
95544,2015-01-09 13:00:00,4.0
127058,2015-01-09 13:00:00,17.0
127059,2015-01-09 13:15:00,13.0
29809,2015-01-09 13:30:00,14.0
95545,2015-01-09 13:30:00,3.0
127060,2015-01-09 13:30:00,13.0
127061,2015-01-09 13:45:00,13.0
29810,2015-01-09 13:45:00,15.0
95546,2015-01-09 13:45:00,4.0
29811,2015-01-09 14:00:00,1.0
127062,2015-01-09 14:00:00,13.0
95547,2015-01-09 14:00:00,16.0
127063,2015-01-09 14:15:00,19.0
95548,2015-01-09 14:15:00,4.0
29812,2015-01-09 14:30:00,5.0
127064,2015-01-09 14:30:00,3.0
95549,2015-01-09 14:30:00,7.0
29813,2015-01-09 14:45:00,16.0
127065,2015-01-09 14:45:00,5.0
95550,2015-01-09 14:45:00,11.0
95551,2015-01-09 15:00:00,13.0
95552,2015-01-09 15:15:00,9.0
95553,2015-01-09 15:30:00,7.0
95554,2015-01-09 15:45:00,3.0
95555,2015-01-09 16:00:00,9.0
95556,2015-01-09 16:15:00,7.0
95557,2015-01-09 16:30:00,1.0
95558,2015-01-09 16:45:00,5.0
95559,2015-01-09 17:00:00,2.0
95560,2015-01-09 17:15:00,9.0
95561,2015-01-09 17:30:00,3.0
127066,2015-01-09 17:30:00,3.0
127067,2015-01-09 17:45:00,4.0
127068,2015-01-09 18:00:00,9.0
127069,2015-01-09 18:15:00,8.0
127070,2015-01-09 18:30:00,6.0
127071,2015-01-09 18:45:00,10.0
127072,2015-01-09 19:00:00,11.0
127073,2015-01-09 19:15:00,13.0
29824,2015-01-09 19:15:00,6.0
127074,2015-01-09 19:30:00,10.0
127075,2015-01-09 19:45:00,10.0
29825,2015-01-09 19:45:00,6.0
29826,2015-01-09 20:00:00,4.0
127076,2015-01-09 20:00:00,13.0
29827,2015-01-09 20:15:00,5.0
95562,2015-01-09 20:15:00,4.0
127077,2015-01-09 20:15:00,9.0
127078,2015-01-09 20:30:00,11.0
29828,2015-01-09 20:30:00,5.0
127079,2015-01-09 20:45:00,5.0
95563,2015-01-09 20:45:00,11.0
127080,2015-01-09 21:00:00,13.0
127081,2015-01-09 21:15:00,13.0
127082,2015-01-09 21:30:00,5.0
127089,2015-01-10 10:00:00,6.0
127090,2015-01-10 10:15:00,11.0
95564,2015-01-10 10:15:00,2.0
127091,2015-01-10 10:30:00,14.0
127092,2015-01-10 10:45:00,7.0
127093,2015-01-10 11:00:00,11.0
95565,2015-01-10 11:00:00,5.0
127094,2015-01-10 11:15:00,11.0
95566,2015-01-10 11:15:00,3.0
29840,2015-01-10 11:15:00,14.0
95567,2015-01-10 11:30:00,3.0
29841,2015-01-10 11:30:00,13.0
127095,2015-01-10 11:30:00,16.0
29842,2015-01-10 11:45:00,11.0
127096,2015-01-10 11:45:00,12.0
29843,2015-01-10 12:00:00,5.0
127097,2015-01-10 12:00:00,5.0
95568,2015-01-10 12:00:00,12.0
29844,2015-01-10 12:15:00,14.0
95569,2015-01-10 12:15:00,11.0
127098,2015-01-10 12:15:00,13.0
127099,2015-01-10 12:30:00,12.0
29845,2015-01-10 12:30:00,12.0
95570,2015-01-10 12:30:00,7.0
127100,2015-01-10 12:45:00,14.0
29846,2015-01-10 12:45:00,14.0
127101,2015-01-10 13:00:00,15.0
29847,2015-01-10 13:00:00,14.0
95571,2015-01-10 13:00:00,11.0
95572,2015-01-10 13:15:00,4.0
29848,2015-01-10 13:15:00,16.0
127102,2015-01-10 13:15:00,15.0
127103,2015-01-10 13:30:00,16.0
95573,2015-01-10 13:30:00,8.0
29849,2015-01-10 13:30:00,17.0
127104,2015-01-10 13:45:00,15.0
29850,2015-01-10 13:45:00,19.0
95574,2015-01-10 13:45:00,2.0
29851,2015-01-10 14:00:00,11.0
95575,2015-01-10 14:00:00,9.0
127105,2015-01-10 14:00:00,11.0
29852,2015-01-10 14:15:00,8.0
95576,2015-01-10 14:15:00,15.0
127106,2015-01-10 14:15:00,14.0
29853,2015-01-10 14:30:00,13.0
95577,2015-01-10 14:30:00,4.0
127107,2015-01-10 14:30:00,12.0
29854,2015-01-10 14:45:00,6.0
127108,2015-01-10 14:45:00,9.0
95578,2015-01-10 14:45:00,4.0
95579,2015-01-10 15:00:00,16.0
95580,2015-01-10 15:15:00,13.0
95581,2015-01-10 15:30:00,9.0
95582,2015-01-10 15:45:00,10.0
95583,2015-01-10 16:00:00,6.0
95584,2015-01-10 16:15:00,4.0
95585,2015-01-10 16:30:00,8.0
95586,2015-01-10 16:45:00,8.0
95587,2015-01-10 17:00:00,8.0
95588,2015-01-10 17:15:00,5.0
127109,2015-01-10 17:30:00,1.0
95589,2015-01-10 17:30:00,1.0
127110,2015-01-10 17:45:00,6.0
127000,2015-01-10 18:00:00,1.0
127111,2015-01-10 18:00:00,11.0
179,2015-01-10 18:00:00,4.0
29738,2015-01-10 18:00:00,1.0
29855,2015-01-10 18:00:00,5.0
127112,2015-01-10 18:15:00,5.0
29857,2015-01-10 18:30:00,8.0
127113,2015-01-10 18:30:00,8.0
127114,2015-01-10 18:45:00,8.0
127001,2015-01-10 19:00:00,6.0
127115,2015-01-10 19:00:00,11.0
29859,2015-01-10 19:00:00,14.0
127116,2015-01-10 19:15:00,8.0
127117,2015-01-10 19:30:00,9.0
95590,2015-01-10 19:45:00,2.0
127118,2015-01-10 19:45:00,9.0
29862,2015-01-10 19:45:00,12.0
29740,2015-01-10 20:00:00,4.0
127002,2015-01-10 20:00:00,2.0
29863,2015-01-10 20:00:00,10.0
127119,2015-01-10 20:00:00,14.0
127120,2015-01-10 20:15:00,13.0
